ori_sentence,bias_labels
当时，班里边有两个男同学一入学就关系不和睦，经常吵架，恰逢抗美援朝来学校里宣传征兵，两个人居然握手言和，一起奔赴朝鲜前线去了。,"[0, 0, 0]"
杨某了解到女友来厦门度假后，就从上海飞往厦门，追了过来。,"[0, 0, 0]"
他感到不但是李全一个人，而是全连的人，都比过去也比他杨军更加壮实了。,"[0, 0, 0]"
"天秤女天生就懂得怎样的举止才算有风度,什么样的谈吐才算够得体。","[0, 0, 0]"
他是中国在线运行的铁路列车6次全面大提速的参与者和见证者，为中国铁路事业培养了一大批学术、学科青年带头人。,"[0, 0, 0]"
"关于这个瑞典赛,对中国女乒是个不得不说的比赛。","[0, 0, 0]"
一再缩短与女朋友煲电话粥的时间，每次总是依依不舍地挂断电话，这时候总是希望通话费能够再优惠一些。,"[0, 0, 0]"
多年前，伍阿姨退休后生过一场大病，常年需要用药，老夫妻俩省吃俭用还要帮助外地老家的亲戚。,"[0, 0, 0]"
年的教育生涯里，他用担当和忠诚诠释了一名共产党员的初心和使命。,"[0, 0, 0]"
我有三个姐姐，我是家里最小的孩子。,"[0, 0, 0]"
经济挂帅不坏 勿忘理想人文,"[0, 0, 0]"
中国女足退步的原因，根本在于人才断档，想迅速提升实力显然不现实。,"[0, 0, 0]"
男子王某，30岁，汉族，本科文化，原籍三门峡灵宝市人，目前为洛阳市某公司派驻洛宁县某局业务员。,"[0, 0, 0]"
微博发出后，有不少网友称赞小男孩很懂事。,"[0, 0, 0]"
日上午，在“益张照片”志愿服务队的改造下，“公共厕所”摇身一变为摄影棚，为这里工作的环卫工姐姐们拍照。,"[0, 0, 0]"
我救柏扬就是啊，孙观汉在海外公布了当时我给他的信，可以看出当初我怎样辛辛苦苦救相杨。,"[0, 0, 0]"
第十二篇上帝厌恶虚浮油滑的赞美（大卫的诗。交给伶长，调用第八）耶和华啊！求你帮助，因虔诚人断绝了，世人中间的忠信人没有了。,"[0, 0, 0]"
其间，张某升采用拦车威胁、谩骂等方式，警告学校工作人员不得在他处购买猪肉。,"[0, 0, 0]"
提问环节，几个男孩直接跑上讲台抢答。,"[0, 0, 0]"
"不管工作还是生活,晋江人的包容和友爱,让她感触越来越深。","[0, 0, 0]"
月28日，失主的女儿不小心将装有重要证件的蓝色手提袋丢在了电梯里。,"[0, 0, 0]"
然后就开始抱怨起自己的丈夫。,"[0, 0, 0]"
优陀夷这番论调，真是说尽世间人情之理，太子听他说完这番话以后，也就很庄重慈和的说道：,"[0, 0, 0]"
他中专毕业，学服装设计，2015年来苏州打工，被朋友拉进某劳务公司，进入南京某厂。,"[0, 0, 0]"
一经介绍，才知这位女朋友竟是原上海交响乐团的大提琴演奏员，现正在伦敦留学。,"[0, 0, 0]"
我有些不高兴，和老公抱怨了几句。,"[0, 0, 0]"
眼见孩子的手都肿了，小男孩也不停叫“疼”，大家决定向警方进行求助。,"[0, 0, 0]"
反观女同学，虽没有成家生子，但活得潇洒自在，没有孩子的牵挂，朋友圈晒的是美美地旅行，业余时间被瑜伽、电影、烘焙安排得满满的，休息保养得好自然气色红。,"[0, 0, 0]"
"她说,家里挺暖和,晚上孩子到家后,脱掉厚重的外套,浑身都觉得轻松。","[0, 0, 0]"
我父亲竟然全盘放手给我做。,"[0, 0, 0]"
到潜在的价值，更能从北京的现代场景中发现美丽和迷人之处，她能从被她和善的目光注意到的事物中感受到单纯的快乐。可以说，中国电影从《找乐》开始又恢复了对日常生活的关注，《找乐》中贯穿了平民精神，平等态度，冷静，克制。,"[0, 0, 0]"
"张儿子""为国捐躯""的通知而不是因耻辱而死的通知.莫托维洛夫到据点发烧发冷,他患了前沿阵地许多战士患的疾病——疟疾.不久里塔来了,给他服了药,但当他得知里塔的丈大就是驻守在邻近据点的连长巴宾时,他感到很窘迫.为了准备对付法西斯的进攻,上级调来了反坦克部队等.莫托维洛夫为保持作战时通讯畅通,就派密津采夫到沼泽地去架设第二条通讯线路,就在这时营部来电话,要调密津采夫到团部的军乐队去工作,莫托维洛夫不同意,这时...","[0, 0, 0]"
该片上映后获第一届百花奖最佳男主角奖和最佳摄影奖。,"[0, 0, 0]"
爸爸把我硬拽去后，我快步走在公园里。,"[0, 0, 0]"
过完年，春梅来我这儿玩，说起这件事，一开始也是扭扭捏捏，啥也不说。后来说开了，一连声地骂根儿，我听出来了，她是想根儿想得很。我就给春梅出主意，给根儿写封信，说自己生病了，要他赶紧回来。春梅刚开始还不好意思，说写啥信哩，他们从来没有写过信。根儿上到初三，还...,"[0, 0, 0]"
远远看到，一个骑电动车的男人绕回来，正要捡。,"[0, 0, 0]"
一开始，我在地铁站出口处卖，推销了3次，只有一位阿姨买了报纸。,"[0, 0, 0]"
方明慧说著，走到稿件柜边，很快的找出了那份稿件，送到他的面前。,"[0, 0, 0]"
不料，猫试图爬出背包，用力过猛，致使女孩因失去平衡坠落，坠入楼下积雪中。,"[0, 0, 0]"
回到娘家，我故意把项链露出来，母亲仔细看了看我的项链，说：“真好看啊”！,"[0, 0, 0]"
从此以后，他每天东方未晓就起床来到农田，一生如此，再没有懒惰过。,"[0, 0, 0]"
他说，自己看到新疆非常平静，那里的人民生活幸福。,"[0, 0, 0]"
对男孩太过严格，也可能给孩子带来心理创伤。,"[0, 0, 0]"
"年,她发现自己跟读小学3年级的孩子在沟通上出现问题。","[0, 0, 0]"
一名男租户对村委的宣传不以为然。,"[0, 0, 0]"
孙虹钢：糟糕的是名人好像在任何方面都想成为专家。研究表明，一个人的月薪在两万以内的时候，靠的是自己的能力和老板的认同。要想超过两万，在很大程度上要靠社会认同和影响力。,"[0, 0, 0]"
我当时就想换个好点的工作，但父亲不为所动。,"[0, 0, 0]"
在燕子“叽里哇啦”的长长叫声中，我父亲知道燕子们在说什么。,"[0, 0, 0]"
"为了酿造传统黄豆酱油,她从种黄豆开始。","[0, 0, 0]"
那时候母亲总能变戏法似的，给生活增添一些惊喜。,"[0, 0, 0]"
"其实狮子男知道,对方有什么事情和安排都会和自己分享,没有和自己说,却在自己提出这个要求之后这样说,就是借口。","[0, 0, 0]"
们看完一场下午场的电影，这时节的电影不外乎就是那几部，翻来覆去的，可总也有些夸张的激越的东西，比如音乐，比如画面，比如一些言辞，鼓荡着他们的情绪。周遭环境却是那么宁静，西斜的阳光将树枝投在房屋的墙上，恬淡又温馨。他们各自都有负责任的家庭做依靠，不必为衣食着忧，处境都是安全的，而彼此间，无疑无猜。两人又是越长越好看的年龄。何民伟又拔高一截，几可称得上魁伟，他的脸型稍有改变，瘦削了些，圆脸就成长脸。他还是学...,"[0, 0, 0]"
我知道妈妈组稿的手段无外乎两样：写信和电话，登门拜访是少数中的少数。,"[0, 0, 0]"
正儿八经的老谋深算，笑里藏刀。,"[0, 0, 0]"
"见到关某时,他一脸着急,骑着一辆电动车,进屋问了几句就走了。","[0, 0, 0]"
女店主意识到垃圾混投行为的危害性，表示会主动改正，并承诺以后一定做好垃圾分类。,"[0, 0, 0]"
他专为他的同类——人类中的怯弱者——设想，用废墟荒坟来衬托华屋，用时光来冲淡苦痛和血痕；日日斟出一杯微甘的苦酒，不太少，不太多，以能微醉为度，递给人间，使饮者可以哭，可以歌，也如醒，也如醉，若有知，若无知，也欲死，也欲生。他必须使一...,"[0, 0, 0]"
毕竟荷尔蒙不在线，对于同款的男朋友我确乎不眼热。,"[0, 0, 0]"
他是电影《甜蜜蜜》的导演，他是《见鬼》、《金鸡》、《三更》等数十部电影的监制，他在香港电影圈摸爬滚打24年。,"[0, 0, 0]"
"据她介绍,在当地人员密集场所,如机场、火车站、购物中心、体育馆、酒店、工厂等处,都能找到至少一台放置在醒目位置的自动体外除颤仪。","[0, 0, 0]"
"就在最近几个月,她迅速合并了两个韩国工厂,将日本工厂的资源向印度工厂调配。","[0, 0, 0]"
幸运的话，找一个靠谱的男朋友！,"[0, 0, 0]"
俩女的这套见面礼，太容易让人误会了。,"[0, 0, 0]"
“你呀你是我的小亲亲，为什麽你总对我冷冰冰？”,"[0, 0, 0]"
时45分，赛事组织者开始进行最后的赛场检查，15分钟之后，参赛的女选手们率先开始进行热身训练。,"[0, 0, 0]"
更不幸的是，我远在老家的弟弟也生了重病，需要大笔治疗费用。,"[0, 0, 0]"
虽然我今年的计划还没有完全实现，但我还会继续努力，争取早日实现帮爸爸戒烟的计划。,"[0, 0, 0]"
那声音骤然降落下去。不再像刚才那样激烈，降落为一片轻微的呜呜声，这声音持续了很久，仿佛是一阵风在慢慢远去的声音。然后４的声音消失了。瞎子在那里站了很久，接着才听到从前面那扇门里响出来两个人的脚步，一个粗鲁，一个却显得十分沉重。,"[0, 0, 0]"
文案里，有资格拿到适合打游戏的键盘的人，似乎只是男生。,"[0, 0, 0]"
副官走出房间后，鲁宾斯基壮硕的身体深深埋进椅子里。,"[0, 0, 0]"
听到调度广播后，女驾驶员首先询问乘客：“前面堵死了，我准备临时改道走花二道，请问大家有没有意见”？,"[0, 0, 0]"
如果你不知道红包金额到底多少才合适，那么这位女星的智慧可作参考。,"[0, 0, 0]"
我外出参加工作多年，去年回到老家，我的几个哥哥家都已经搬进了新居，家里买了各种各样的电器，而且也安置了好几组比较豪华的灯具。,"[0, 0, 0]"
"样的出身职业军人、知识渊博、刚宜不阿的形象,也有阿辽沙那样的梳洗整齐、虔信宗教、逆来顺受的形象.此外,丘林、克列夫申、费久科夫等也各具个性.作者用冷静客观、略带幽默的口吻描述一个犯人度过的平凡的一天,细腻逼真,但字里行间仍能处处感受到作者激愤的态度.由于小说主题尖锐,因此它在得到赫鲁晓夫亲自批准后才得以发表.作品问世后,立即在国内外引起轰动.作家特瓦尔多夫斯基认为:这部小说的发表""意味着一个新的、独特的...","[0, 0, 0]"
老同盟会员出身的齐柏年，出于正义感，为营救叶兰奔走呼号，而叶兰本人更是坚贞不屈，不肯污污共产党人的清白，终于被害。,"[0, 0, 0]"
我说：“对……”他又问：“是不是，太没志气了？……”我说：“不是……”“可别人总嘲笑我的想法迂腐……”“玉龙，你的想法一点儿也不迂腐……”我早已深深地被大小的话感动了。,"[0, 0, 0]"
它的声调是温顺的，乖巧的，善意的；在心性上却是防范的，远距离的，言不由衷的。,"[0, 0, 0]"
但患有高血压的爷爷却倒在了旅途中，幸好有路人的帮助，及时送到医院转危为安。,"[0, 0, 0]"
能地朝向敌人冲去。山姆的第二剑完全没砍中目标，他自己也因为对方的冲撞而抱著对方连连后退，最后摔倒在地上，对方却也被他绊了个脚步踉跄。在山姆来得及站起来之前，他就听到一声惨叫和轰然巨响。原来，半兽人在慌张狂乱的状态中竟一个不小心从陷板门跌了下去。山姆没有时间管他，立刻跑向躺在地板上的那人──那正是佛罗多。,"[0, 0, 0]"
而还不满2岁的小女儿则被一位陌生大姐帮忙抱着，一把鼻涕一把泪地在大哭，让人看了心疼不已。,"[0, 0, 0]"
男的爬低上高，软篾笤帚蘸了白土汁水，从上向下，由左到右，刷呀刷，刷出一种好心情，刷出一个新日月。,"[0, 0, 0]"
一位普通白领女孩丢了宠物猫，每晚到楼底下放猫粮，一遍一遍喊猫咪的名字。,"[0, 0, 0]"
走了半个多小时，后面突然有一个男人在问：“师傅，一个人出来走走呀”？,"[0, 0, 0]"
这个回村进行了一系列破坏活动的凶恶的特务分子，怎么能不使指导员两眼发红，恨之入骨呢！,"[0, 0, 0]"
就说我们家，老婆和我形成了默契、达成了共识：那就是我俩谁先回家，谁就去做饭。,"[0, 0, 0]"
他到这些山区孩子的家里走访，看到谁家困难，就从兜里掏出几百块递给人家。,"[0, 0, 0]"
女教师温柔地说：“这些好朋友呀，就爱找睡的又快又香的好孩子做朋友”，这句话仿佛有魔力，所有的小朋友乖乖躺好，闭紧了双眼，不一会儿就呼呼地进入了梦乡。,"[0, 0, 0]"
年夏天的一个晚上，同事与老刘在大排档里喝酒，喝着喝着突然抽泣了起来，同事懊悔不已，说不该让父亲去养老院里孤独地度过生命的最后时日。,"[0, 0, 0]"
结婚后，两人生了三个儿子。,"[0, 0, 0]"
在某个湿热的南京的夏日午后，他的心境糟糕透了。,"[0, 0, 0]"
原来在外办过服装厂，搞过货运，还为圣农经销鸡粪的他，年收入有七八十万元。,"[0, 0, 0]"
当然了，如果男生不是在早上六七点叫醒我，叫我下去拿早餐，我会更开心的。,"[0, 0, 0]"
“那时候，谁要是长了一对大乳房，是非常丢人的一件事”，一位刚做了奶奶的采访对象对我说。,"[0, 0, 0]"
当他见到古日古帕老爷喜形于色的时候，竟轻狂起来，立即得意忘形而变成了另外一个人。,"[0, 0, 0]"
体舒畅，只要我唤一声：“宝——！”猫猫便会踮着猫步非常轻柔地跃上我的膝盖，闭着眼睛任我搔弄他的下巴。我于是在他选定最舒服的姿势以后开始教育：“宝啊！我家的乖宝宝，大便入盆，小便入池，知不知道？”宝于是乖巧地答：“道——！”,"[0, 0, 0]"
看。方枪枪羞答答地小声说。,"[0, 0, 0]"
一位女生成绩名列前茅，但从五年级开始，会间歇性地不来上学。,"[0, 0, 0]"
“你只顾玩乐，还修什么道？”尼奥冷冰冰地说。,"[0, 0, 0]"
吃完了晚饭，女儿告诉我，上午老师在讲心理课时说，及时清理负面情绪和刷牙洗脸一样重要。,"[0, 0, 0]"
"术后,她在重症监护室昏迷了两天,“我其实潜意识里一点都不想面对这个世界。”","[0, 0, 0]"
哪知叔叔反倒建议：“你们为啥不回家创业，现在农村同样大有作为”。,"[0, 0, 0]"
那么下面给大家看一看，这位看着长得挺凶，它的性情非常娴静，非常安详的一种猴，它叫豚尾叶猴，这种猴是叶猴中惟一一种尾巴不长的猴，它的尾巴很短，就像猪尾巴一样，所以叫豚尾叶猴。豚尾叶猴它是生活在印度尼西亚的苏门达腊。,"[0, 0, 0]"
张艺谋是一个形式主义大师，他给中国电影带来了新的可能性，他的突破，或者说贡献，其中很重要的一点是在电影形式上的创新。因为在内容上，按照他的条件，先天的不足让他很难有所作为，像在叙事上，工整，厚实，他都做不到，说得形象一点，如果要在内容上突破，传统非常强大，像谢晋前辈比他做得更好，他自己也意识到了这一点，于是也在找弥补的招，比如改变著名作家的小说，站在他们的肩膀上去做事，不至于太失横。,"[0, 0, 0]"
孤独的愉悦最快乐,"[0, 0, 0]"
"这次体验“亲情录像”,她又有了新认识。","[0, 0, 0]"
"让人唏嘘的是,她以前的工作就是跟拍那些地铁乞讨的人。","[0, 0, 0]"
对一个90后的女孩来说，寻找一切机会去看看这个广大的世界，不是最接地气的理想吗？,"[0, 0, 0]"
但他并不满足，因为心里一直有个学前教育梦，“从教之初，我就想在教育的起点处做点什么；学前教育办好了，孩子更能健康成长”。,"[0, 0, 0]"
女兵的征集工作与面向社会的征集工作同步展开，应征青年必须于8月5日之前在全国征兵网网上报名，具体由市征兵办统一组织实施。,"[0, 0, 0]"
"年以来,他一直把爱和陪伴奉献给了这个特殊的群体。","[0, 0, 0]"
无论大连还是天津女足，曾经的冠军之师，都沦落至无人接盘乃至被迫解散的地步，令球迷唏嘘。,"[0, 0, 0]"
他说，自己是一名共产党员、人民教师，坚决不能搞特殊。,"[0, 0, 0]"
陶大爷儿子的房子68平方米，虽然不大，四个大人和一个宝宝也住得惬意。,"[0, 0, 0]"
妈妈把一些新鲜的嫩菜叶洗干净，放在装小鸭子的纸箱里，希望它能够喜欢吃。,"[0, 0, 0]"
"现在,每天下班她都会过来看我,跟我讲述工作生活中的点点滴滴。","[0, 0, 0]"
"就这样,接近退休年龄的她,仍然坚守在社保工作风险点最高的养老待遇计发这个岗位上。","[0, 0, 0]"
有人敲门，他本能的站定了脚步，方明慧推门而入，又是满手的卷宗文稿，又是一连串笑容可掬的报告：“编辑部问本月新书的计划你满不满意？发行部说那份发行调查表已经送给你两个月了，问你要不要放弃那些小地区？,"[0, 0, 0]"
重新恢复训练后，在教练的指导下，他保持着每周高强度拉练长距离3到4次，然后每周选择一个不跑步的日子，在健身房里进行专项肌肉力量和柔韧性训练，时长达到两个半小时。,"[0, 0, 0]"
"我不知怎么接听,正好老伴儿在旁边,说这很简单,她来示范,问我这个电话接还是不接。","[0, 0, 0]"
家人抱着男孩痛哭的视频在网络流传开来，令人揪心不已。,"[0, 0, 0]"
在家里，晚上还要戴上眼镜，逐词逐句检查女儿的备课。,"[0, 0, 0]"
"砖地终年用一把湿拖把擦来擦去,年长日久磨成浮石一般.幽灵似的细微劳作.下午在麦垛的阴影下打吨的人的迷糊举动.""这可称得上是一幅西方的《清明上河图》,一派浓郁的农家乐气氛.在这些图景中,融入的是主人公那焦急、喜悦、紧张、忧虑、激动、舒坦等等的复杂而丰富的情感心绪.所有这些又紧紧环绕着""等待""这一中心情节.""难道她还会来?""""我要等待"",""我无人要等"",""只得等待""""如何才能和她相会呢?""这些心理活动,与西...","[0, 0, 0]"
一段时间后，令许多人畏难的织布活，母亲则越织越熟练。,"[0, 0, 0]"
事后，死者家属把拖拉机车主和男青年同时告上了法庭。,"[0, 0, 0]"
井底岩石坚硬，增加挖掘难度，而男童生死未卜，幸存希望变小。,"[0, 0, 0]"
"人都记得奇诺一家是怎样回来的.一个金色的黄昏,奇诺和胡安娜出现了.他们不象往常那样一前一后地走,而是并肩同行.奇诺的胳臂上搁着一支步枪.胡安娜肩上扛着一个小包裹,包布上血迹斑斑.两人都面带倦容,但神情坚毅.他们走到海边,奇诺从怀里掏出那颗大珍珠.他看到珠子里面邪恶的面孔窥视着他的眼睛,他也看到熊熊燃烧的火光.在珍珠表面他看到在他枪口下追踪者狂乱的眼睛,他也看到小狗子被枪弹打掉头顶的尸体.珍珠显得丑陋,灰...","[0, 0, 0]"
这些年来，他只买双色球，但投注的号码全凭感觉自选的，从没研究号码走势图也从不追号。,"[0, 0, 0]"
"岁的孩子对于数字也不太敏感,不过在她的坚持与磨合下,如今的孩子已经能较为合理地规划金钱的使用。","[0, 0, 0]"
回家后他给自己制定了严格的训练计划，两年的时间转瞬即逝，2017年的2月12日，幸运之神再度降临。,"[0, 0, 0]"
买它、买它、买它，女生们这个价格超级便宜，买回来自用或送人都非常划算。,"[0, 0, 0]"
年春加入中国共产党，成为广东省第一个女党员。,"[0, 0, 0]"
医生像画家一样，三笔两笔在纸上迅速勾勒出一个秀气的下巴：“大致是这个效果，你可以想象一下。”,"[0, 0, 0]"
"事情起因于几年前的兄弟分约,兄弟几人在母亲去世后,多次协商分家,最后却在老两口的宅基地的归属问题上起了矛盾。","[0, 0, 0]"
女友能为了我做出改变吗？,"[0, 0, 0]"
丁春秋眼见在群雄毕集、众目睽睽之下，阿紫居然打出“星宿派掌门”的旗号来，是可忍孰不可忍？他胸中怒发如狂，脸上却仍笑嘻嘻地一派温厚慈和的模样，说道：“小阿紫，本派掌门人之位，唯有力者居之，这句话倒也不错。你觊觎掌门大位，想必是有些真实功夫了，那便过来接我三招如何？”,"[0, 0, 0]"
起明  ∶到底人家是挣两三千美元，一个月的哈。说话都不是一个味，财大气粗。,"[0, 0, 0]"
什么时候开，你丫管得着吗你！？再罗嗦小心我抽你！”鲁达受了理直气壮的抢白，只好退开，后来实在耐不住炎热只好腆着脸皮向小伙计讨了一碗水喝，在接过水的一刹那，鲁达近距离地看见了小伙计瞳孔中的自己竟是那样的猥琐，顿时一颗心瞬间就变凉了。,"[0, 0, 0]"
玉林一男司机因酒后犯困，驾车时错把油门当刹车，连撞六辆电动车和一辆小车，造成2人轻伤，7辆车有不同程度的损坏。,"[0, 0, 0]"
"而在街头,每当歌声响起,市民纷纷驻足,认真听歌的神情,让他倍感满足。","[0, 0, 0]"
小时候的我不喜欢雨季，因为妈妈说雨是天公的泪滴。,"[0, 0, 0]"
"年11月中旬,莱西市公安局望城派出所民警获得线索,一名45岁的男性居民赵某家中存放有大量建筑工地使用的铜电缆、铁管等可疑物品。","[0, 0, 0]"
"么人？""宋慈说：""宋某曾细细察看那几具死尸发觉其中有诈。我发觉那几个死者的脚板宽大如扇脚趾个个散开脚底有厚厚的老茧系常年站立船板所致手掌心亦有两道厚茧为拉网收绳勒刻而成可见被杀的所谓江洋大盗不过是几个老实巴交的捕鱼之人！胡捕头在哪里？""胡捕头慌急地跪下：""宋大人……""宋慈喝道：""你枉杀无辜该当何罪？""胡捕头连连磕头：""在下是奉命行事不得不为求宋大人饶命饶命啊……""宋慈怒向袁捷道：""袁捷你也是贫寒人家出身那几...","[0, 0, 0]"
"那么说，他真是个大滑头啊，""领事接着说，""他是打算把欧美两洲所有警察局都蒙混过了，然后再回到伦敦去。","[0, 0, 0]"
我拉住妈妈的手到路边小广场，说：“遛弯要来广场，谁在大马路上透气啊”？,"[0, 0, 0]"
天气晴朗，午餐后刚一回班，几个女生的眼神就目送着我回到了后面的座位上。,"[0, 0, 0]"
男租客通过出租房配备的灭火器，过来进行火灾扑救，但此时火已经很大，靠灭火器根本没办法扑灭。,"[0, 0, 0]"
因为瘦高体型男性幼时多经常感冒咳嗽甚至发生肺炎，更容易由于先天性弹力纤维发育不良而导致肺泡壁弹性减退，扩张后形成肺大泡，好比胸腔的“定时炸弹”，遇外力等诱因，就会发展成气胸。,"[0, 0, 0]"
"车行香包晃,便似父亲温柔的眼神,欲言又止的唠唠叨叨,谁道父爱无声?","[0, 0, 0]"
老朱数学好，当年凭借合并同类项这一绝技，秒杀多少自命不凡的男生。,"[0, 0, 0]"
在交行工作人员和民警的共同劝阻下，女子意识到了问题的严重性，终止汇款离开了网点，并对网点工作人员和警察表示感谢。,"[0, 0, 0]"
男主起大早去赶集，拎条麻袋，口朝下屋门口抖落，抖落糠皮子、谷壳子，上下摸个遍，生怕麻袋有洞开线，把好嚼货儿落道上。,"[0, 0, 0]"
"看到设备的那一刻,她很心疼家乡的橘农们,当即决定放弃这笔交易。","[0, 0, 0]"
"孩子生病比较难带,我小儿子有一次哭起来,还是张敬护士连抱带哄外加玩游戏,半个多小时才哄好,比我都有耐心。","[0, 0, 0]"
“去吧，小伙子。告诉你们罗马人，说是下贱的角斗士赏了你一条命！”,"[0, 0, 0]"
在阅兵时，成千上万全副武装的苏军指战员迈着整齐雄健的步伐从红场列宁墓前走过，接受最高统帅的检阅，随即从红场直接开赴前线，去迎击莫斯科远郊的敌人。,"[0, 0, 0]"
他的祖父呢就是他的父亲，父辈还是让他学儒。就是你不要去经商去，你还要学儒。所以请了当时的几位儒学大家来教他，教他儒学思想。所以李东垣应该是一个很好的书生。他这个人呢学来学去最后变得非常有趣儿，就是品行高洁，变成这么一个人。,"[0, 0, 0]"
他还俏皮地说，生活与艺术，滤化的是情绪，升华的是状态。,"[0, 0, 0]"
"激情,而把他们造就成只会学舌的""鹦鹉""呢?严峻的现实使廖瓦认识到:对于古代沙皇伊凡雷帝的评价可以采取""满不在乎""的态度,但对于老师""在记分册上给我打个什么分数却不能满不在乎"".这是多么沉重的代价,多么惨痛的教训!由此可见,作者意欲改良现今苏联教育体制的愿望是多么的强烈.但综观全文,还有一个问题比教育体制更能引起作者的关注,那就是人的道德品质.象列娜这样惯于接受""现成公式""的人,尽管她本人""连只小老鼠都不...","[0, 0, 0]"
欢呼雀跃的人群中，有一位刚上小学的女孩儿。,"[0, 0, 0]"
另外，年轻男性过于集中在首都东京，以致一些地方城市尽管推出育儿援助政策也无助于提高出生率。,"[0, 0, 0]"
"她的脾脏把肚皮撑得像怀孕一样高高隆起,随时有破裂的危险。","[0, 0, 0]"
上车后，该男子报出了目的地后，就低头进入了瞌睡状态。,"[0, 0, 0]"
然而，从10月中旬开始，眼见男友并没有回心转意的迹象，王某便向陈某某提出了退款的要求。,"[0, 0, 0]"
虽说读过初中，但他从未好好学习，也从未真正接触过什么艺术。,"[0, 0, 0]"
你女朋友看来还不知道你借了高利贷吧!既然不知道如何藏你的钱?,"[0, 0, 0]"
我们怀疑女儿被下了毒品或者致幻剂。,"[0, 0, 0]"
所以我也和他一样笃信，我们的家在上海，但根在水乡。,"[0, 0, 0]"
"园中还有一个建筑叫“三友轩”，室内以松，竹，梅装饰, 松木刚劲而挺拔 , 腊梅 凌寒而开放 , 翠竹杆直而心虚 , 三者皆处严寒而不谢 , 所以被称为岁寒三友 , 古代文人以这三种植物比拟人品的刚直、高洁。乾隆皇帝不仅借三友轩表现自己的儒雅，更重要的是传达出清朝皇帝与汉族知识分子思想融合的一种态度。","[0, 0, 0]"
但远在福利村的母亲对此并不知情。,"[0, 0, 0]"
"在起初尝到一些甜头后,她加大投入,从而导致越陷越深,被骗了近9万元。","[0, 0, 0]"
女人当时就吓傻了，将家里的20多万现金全都拿出来。,"[0, 0, 0]"
解放后，先是我大哥大学毕业，然后二哥工作，接着我也工作了，还把弟弟的生活全部负担起来。,"[0, 0, 0]"
哪有当父亲的对自己的孩子下手的。,"[0, 0, 0]"
"舞曲.乐曲悠扬,持续到翌日凌晨.盲人乐师兴高采烈,因为上帝已经把杀人凶手送进地狱化成灰烬.","[0, 0, 0]"
危急关头，女子用先前买来的家用灭火器及时把火扑灭，成功化解了险情。,"[0, 0, 0]"
只有主题曲里的女主角不在场。,"[0, 0, 0]"
而我还报以粗鲁的态度可能缘于内心的虚弱，仿佛身上的某处暗疮让敏感的天天一下搔到了。,"[0, 0, 0]"
"这些东西我不要，你赶快拿回去！""太子威严而又慈和的命令着。","[0, 0, 0]"
涉事的男孩年纪虽小，行为性质却非常恶劣。,"[0, 0, 0]"
"有了小宁宁之后,她最喜欢的事情就是每天用文字和照片、视频记录孩子成长的瞬间。","[0, 0, 0]"
我当时吓蒙了，眼镜也找不到了，满屋子都是烟雾，多亏了大哥哥背我下楼。,"[0, 0, 0]"
"说是搬家,可是我们什么东西都没带,因为她这里的生活用具一应俱全。","[0, 0, 0]"
“老马，你今儿是怎么啦?说话流里流气的，这可不像你……跟你说正经的呢。”,"[0, 0, 0]"
他希望沈阳特派办深入贯彻落实习近平总书记关于审计工作的重要论述，切实履行职能，当好桥梁纽带，积极建言献策，更好助力辽宁全面振兴、全方位振兴。,"[0, 0, 0]"
这个男孩本来也许有机会活下来，却在转移至医院后被宣布死亡。,"[0, 0, 0]"
原来母亲黑白颠倒，醒来认为亮天了。,"[0, 0, 0]"
妈妈说，好久没有见过这么诗情画意的荷花了。,"[0, 0, 0]"
随着事业的不断扩展，这个扎根土地的女博士被彻底“绑”在了藜麦田里。,"[0, 0, 0]"
他先后参与破获刑事案件105起，查处治安案件506起，调解群众纠纷77起，为确保一方平安做出突出贡献，曾多次被评为先进个人。,"[0, 0, 0]"
同时，他扎根中华优秀传统文化，借鉴先进阅读理论，探索构建“基于标准”的阅读体系，引导学生完成独立的深度阅读与内省，进而形成真正适应未来社会的学习力。,"[0, 0, 0]"
作家以朴实的笔触娓娓道来，展现了一个女作家的养成记。,"[0, 0, 0]"
"诗人匠心独运,对诗的整体进行了精心的勾画,并使主客体两相映衬,通过对监狱生活多角度的描写,烘托了囚犯监狱生涯的情景与氛围.全诗的格调被诗人重重地抹上一层冷色调——凝重、冷峻、晦暗阴郁,这恰恰映衬了囚犯的心理.","[0, 0, 0]"
"往复几次,悲痛万分的女儿无法自抑放声大哭。","[0, 0, 0]"
过了一阵，他对幕僚说：“皇上圣明，有罪必罚。,"[0, 0, 0]"
这个男孩半边脸长满了血管瘤，还患有癫痫，智力发育不全。,"[0, 0, 0]"
抗战情结在他幼小的心灵里扎下了深根。,"[0, 0, 0]"
邓裕强：当时的目标其实从3G门户的名字上看已经很明确，到了3G时代，我们要做每一个人都首选登陆的门户网站。当时整个中国还没有手机互联网，也没有任何一家可以称之为门户网站的，当时网站简陋得就像毛坯房一样，我们是第一个把房子装饰漂亮，还不断把它的功能丰富起来的。当时我们的目标就是，3G时代成为手机互联网上的新浪、搜狐。当然，现在我们不仅仅是要成为新浪、搜狐一样的企业了。,"[0, 0, 0]"
这样一来，儿子就被宠坏了，碰到困难都解决不了，打鱼技术自然就无法提高。,"[0, 0, 0]"
